Course, Module , Feedback
Machine Learning,Module 01,ফিডব্যাক নেই।
Machine Learning,Module 01,good
Machine Learning,Module 01,"the questions should provide a full working code as there are options that include syntax error but snippets are not thoroughly provided
 "
Machine Learning,Module 01,I want a clear and more descriptive class for 1-8  list comprehension demo problem 
Machine Learning,Module 01,টিচার ভাল করে বুজাতে পারে না
Machine Learning,Module 01,Too Fast and some concepts are not cleared enough
Machine Learning,Module 01,I wish there were better feedback for the quiz.
Machine Learning,Module 01,I felt it was rushed and I could not understand properly .the teacher was in a rush nd didn’t explain in detail 
Machine Learning,Module 01,valo poraiche . ektu sequence ta maintain korle aru bujte subida hoi rki
Machine Learning,Module 01,ভালো তবে dictionary পাটাতে আরও clear example  দিলে ভালো হতো
Machine Learning,Module 01,none
Machine Learning,Module 01,"কোর্স এর শুরুতেই ডাটা স্ট্রাকচার করা যেটা কিসুটা কঠিন ছিল, আরো ভালো ভাবে বুজতে পারতাম যদি অন্তত ডাটা স্ট্রাকচার শেখানোর আগে, ডাটা স্ট্রাকচার বুজতে যতটুক বেসিক জানা প্রয়োজন সেই টপিক গুলি যদি সেখান হতো l "
Machine Learning,Module 01,"instructor is not up to the mark according to quality that you have provided before,thank you"
Machine Learning,Module 01,Lecture was good and the teacher explain everything really well but I think some type of advance things won't understand right now . I think in the last of modules there should be some videos or suggestion that how to keep practicing all of the codes so that we can remember the codes. 
Machine Learning,Module 01,the module was quite good
Machine Learning,Module 01,good
Machine Learning,Module 01,"The instructor is knowledgeable. But the video recordings could be more professionally presented, and some of the complex topics are a bit difficult to grasp. It would be really helpful if those concepts were explained in a simpler and more accessible way."
Machine Learning,Module 01,"As I'm familiar with Python, I had no difficulties to understand the concept. Overall, the explaination of the course instructor were very clear and easy to understand. From this module, I learnt comprehension concept which iwas unfamiliar for me.  "
Machine Learning,Module 01,"Struggling to understand complex things on Python as I am a beginner in Python. Struggling with loops, comprehensions and most importantly the nested loop."
Machine Learning,Module 01,ফাইট্রন বুকে কোর্স দিলে ভালো হতো 
Machine Learning,Module 01,"আজকের Python মডিউলটি খুবই তথ্যবহুল এবং সহজবোধ্যভাবে সাজানো ছিলো। বিশেষ করে লুপ, ডেটা স্ট্রাকচার অংশগুলো খুব সহায়ক ছিল। তবে যদি আরও কিছু রিয়েল-লাইফ উদাহরণ ও প্র্যাকটিস প্রবলেম যুক্ত করা হয়, তাহলে শেখাটা আরও ইন্টারেস্টিং ও কার্যকর হবে।"
Machine Learning,Module 01,Good Enough
Machine Learning,Module 01,i think teaching style is ok.
